CustomerId,Name,first_name,last_name,email_id,mobile_no,dob,age,Gender,KYC_document,civil_score,last_login_date_time,credit_limit
1,Karim Avind ,Karim,Avind,petersko@verizon.net,8870869192,12/7/1995,27,Male,A,435,25/11/2022,6
2,Jiyan Sharma,Jiyan,Sharma,balchen@att.net,8121774794,13/7/1994,28,Male,P,682,25/11/2022,18238
3,Pulok Mishra,Pulok,Mishra,kewley@outlook.com,8186390844,14/7/1999,23,Male,A,501,25/11/2022,76915
4,Mijan Ali,Mijan,Ali,manuals@hotmail.com,8243787143,15/7/2001,21,Male,P,14,25/11/2022,97268
5,Rahashir Avind,Rahashir,Avind,ideguy@optonline.net,8262389090,16/7/1995,27,Male,A,775,25/11/2022,95880
6,Benkat Sitaraman,Benkat,Sitaraman,madler@optonline.net,8565883657,17/7/1995,27,Male,A,865,25/11/2022,61119
7,Arav Viavn,Arav,Viavn,andersbr@icloud.com,8653458504,18/7/1995,27,Male,A,167,25/11/2022,51349
8,Timir Kunjalal,Timir,Kunjalal,tezbo@yahoo.com,8765212152,19/7/1991,31,Male,A,798,25/11/2022,52349
9,Sourav Sharma,Sourav,Sharma,osaru@live.com,8152997303,20/7/1995,27,Male,A,78,25/11/2022,55550
10,Bikram Purohit,Bikram,Purohit,zeller@gmail.com,8596183532,21/7/1985,37,Male,P,474,25/11/2022,57120
11,Pulkit Riyan,Pulkit,Riyan,fatelk@hotmail.com,8313376884,22/7/1997,25,Male,A,6,25/11/2022,57569
12,Liza Devi,Liza,Devi,squirrel@msn.com,8453653854,23/7/1995,27,Female,A,418,25/11/2022,62040
13,Subashree Das,Subashree,Das,sbsr1234@gmail.com,8689379963,24/7/1975,47,Female,P,367,25/11/2022,52965
14,Shakar Biswas,Shakar,Biswas,khuba@yahoo.com,8196686727,25/7/1993,29,Male,A,47,25/11/2022,2634
15,Rajan Purohit,Rajan,Purohit,rp562@gmail.com,8540883045,26/7/2012,10,Male,A,467,25/11/2022,61060
